text,label,origin,new_label
Anh Ba để Túuuu,0,vihsd,0
Ở việt nam đk gọi là mắc dại 🤣🤣🤣🤣🤣🤣,0,vihsd,0
Chắc lại đi spa tắm trắng để câu bạn trai đây mà!,0,victsd,0
Minh Nguyen lên bài tứ quý 2 3ng còn lại mặt nghệt ra đếm lá,0,vihsd,0
Lâu lâu được một pha là cứ đem ra khoe hoài :),0,vihsd,0
Trèo cao ngã đau nhé thầy ngu,0,vihsd,0
"Không thể tin được, sao lại tồn tại những loại cầm thú như thế này.",1,victsd,1
"LIONEL MESSI: 6 QBV, 6 GIÀY VÀNG, 34 DANH HIỆUCRISTIANO RONALDO : 5 QBV, 4 GIÀY VÀNG, 30 DANH HIỆUKL. LIONEL MESSI > CRISTIANO RONALDO",1,victsd,1
Loài vật thông minh nhất thế giới cũng mất kiên nhẫn với con Người rồi!,0,victsd,0
Puca Nguyễn chả hiểu sao có thể mặc đc cơ 🤣,0,vihsd,0
Cá nhân tôi không cảm được nhạc của cậu này. Nó thô tục và phản cảm vô cùng.,1,victsd,1
Và trong “Sena” cũng địt có chữ G nào luônnn :33 (j4f),0,vihsd,0
"Ai cũng muốn trở lại làm những đứa trẻ .Dễ hiểu thôi. Cứ càng lớn thì người thân của bạn sẽ lần lượt ra đi....Mất mát không? Đau khổ không ?Nên chỉ có quá khứ.Chỉ có tuổi thơ .Chỉ có những điều đã cũ mới khiến tâm hồn bạn bình thản , mới giúp mọi ng sống đúng với những xúc cảm của cuộc đời.Không toan tính.Không dối trá.Không thị phi",0,vihsd,0
Yêu đương đ gì tầm này em còn phải đi cà khịa đã 😒,1,vihsd,1
Mất mẹ fan cứng mặc dù vẫn tương tác đen vl,1,vihsd,1
Mang tiếng nhạc,0,victsd,0
Ông nội nào nhảy kênh nữa à,0,vihsd,0
"dân ở thế dưới vì sao ? vì không dám hành động nên mới ở thế dưới , dân đồng lòng cùng hành động thì mới ở thế trên được bạn ạ , VN mình 1 đảng không như các nước tư bản đa đảng khác , đến các nước tư bản đa đảng dân họ còn dám biểu tình đập phá nên họ mới có thể đứng ở phía trên , còn VN thì không .",2,vihsd,1
Lói dối bị môi anh khoá ngay :v,0,vihsd,0
Thấm,0,victsd,0
Khanh chi xõa tóc đẹp hơn cột,0,vihsd,0
Oke abe <3,0,vihsd,0
"['Sao giới ranh giữa sự sống cái và chết manh mong vậy, mới đây còn là người con lại sao hóa cầm thú mất hết tính nhân buồn chia gia cùng đình']",1,gen-victsd,1
['Nhà mình mà muốn chăm đi vào sóc cho con cái phải xin phép hàng thằg xóm. cho Nó mới đc vào. nhục Nhục nó nhục đm. .. ..'],1,gen-vihsd,1
đón trung quốc sang chiếm nước :))),2,vihsd,1
"Doanh nghiệp và dân_ phần ưu ái luôn là bên DN,họ chi mạnh,có thế lực,nhiều khi là sân sau của quan chức,dân muốn tìm đồng minh thì cạch chính quyền ra,tránh xa con dao 2 lưỡi. dân luôn là kẻ thấp cổ bé họng,mà chính quyền là luật,luật là chính quyền.bàn tay luôn có 2 mặt",1,vihsd,1
"Ấn Độ,Peru vượt Trung Quốc",0,victsd,0
"Tội ARS, vừa loại Liv, lại đụng tiếp MC",0,victsd,0
"Con, này, ăn,cuc, cả,thoi, giới",2,vihsd,1
"Quay phim đẹp, chuyên nghiệp!",0,victsd,0
Zalo,0,vihsd,0
