text,label,origin,new_label
Con nho nay hom truoc chui Ong ba Cha me ca nguoi Vn la minh biet no bi Ma nhap no truoc khi bi chet.. ..gao thet kinh hon de truoc khi xuong dia nguc...🙏🙏🙏,0,vihsd,0
"Mấy hãng trên phù hợp với ăn nhanh, ăn nhẹ, ăn no thì 100k mới đủ.",0,victsd,0
"Wow! giàu có thật,",0,vihsd,0
Kết quả không thể ai đoán được,0,victsd,0
"Chuẩn bị Trung Quốc hoá miền Bắc mà, các bạn không theo dõi sao ???",0,vihsd,0
An noi vua phai thoi pn gi ma an noi kieu k co nguoi day vay,0,vihsd,0
Ad cho a vao group voi,0,vihsd,0
Thầy dạy em không được xạo lồn mà ?,0,vihsd,0
Cổng thì xấu vcc ra,1,vihsd,1
Sét đánh chết tao đi,0,vihsd,0
Phương Nam 1 ngàn 5 cái thì mua 🙂,0,vihsd,0
Công thức đập của thầy ba hayy vãi ae à,0,vihsd,0
"Chẳng qua dân mình ngu dốt, học luật giao thông thì bố thằng nào làm bậy dm",1,vihsd,1
Rồi F1 có thành auth được ko :))) nói chuyện sai chính tả là bực rồi :)),0,vihsd,0
Phươngg Bìnhh đổi 25 mảnh hàng hiệu đc 750 tinh hoa kìa,0,vihsd,0
Tự cắt nha mấy đứa,0,vihsd,0
She’s very  cute,0,vihsd,0
Học sinh úc mà lại,0,victsd,0
Phạt thật nặng và tước bằng lái đối với trường hợp này .,0,victsd,0
Nhớ nghỉ hẳn luôn nhé ☺️,0,vihsd,0
TỨC MUỐN GỚT NƯỚC MẮT >;(,0,vihsd,0
Nam Bắc Giang m đang đi cách li ở đâu rodoi,0,victsd,0
Đặng Lê Nguyên Nguyễn Tấn Quí,0,vihsd,0
"Chị dễ thương, chất phát. Chúc chị luôn vui vẻ, tươi trẻ và hạnh phúc 😘",0,vihsd,0
Cố vấn cấp cao cho đàn c hó,2,vihsd,1
Mặt này đâu phải tùng sói,0,vihsd,0
"Thời điểm Bale ra đi, tại sao fan Messi không mua về Bacerlona để đá Chung Kết C1, Cup Nhà Vua, Siêu Cup TBN để làm poker C1 gánh ""tạ"" messi như gánh Ronaldo nhỉ ?À quên Messi chưa tìm ai gánh Bale vào CK để Bale gánh lại.",0,victsd,0
Sương Nguyệt Anh và sương Nguyệt ánh nữa tên nào đúng,0,victsd,0
Mới xem 🥰,0,vihsd,0
"Nhiều người biết chó dữ nhưng vẫn nuôi, hậu quả quá nặng tự đem đến cho người thân yêu nhất ...",0,victsd,0
6:35 👉👍,0,vihsd,0
Làm con người kh thích thích làm con cặt,1,vihsd,1
Đặc sản 😂,0,vihsd,0
đây đồ hiệu mixi cao bằng đây😂,0,vihsd,0
Tóc đẹp lồng lộn thế nào thì trong túi phải có thật nhiều tiền thì mới có nhiều gái theo :))),0,vihsd,0
cao cao quyen cua chu tran dan,0,vihsd,0
Mày xấu như quỷ,2,vihsd,1
"Chị ơi chị có làm từ thiện thì em xin nhờ chị giúp dùm cho một người có được không Nếu chị muốn giúp cho họ thì chị cứ gọi điện thoại cho họ số điện thoại 094 921 3334 người này là người khuyết tật hiện nay rất khổ cũng đang làm, Thuốc nam từ thiện",0,vihsd,0
Không phải tụi nó sợ mà tụi nó thù dai. Vì tụi nó là lũ sức sinh.,2,vihsd,1
Nghe giọng như vừa bị thông vậy :))))),0,victsd,0
Trang Luu mốt tụt quần của ngta 😂,0,vihsd,0
Mỗi lần coi cô là cười ra nước mắt 😂,0,vihsd,0
đc anh ouw,0,vihsd,0
Đức Thịnh 🙆🙆🙆😂😂😂,0,vihsd,0
Chi Tsan no more Europe,0,vihsd,0
"Vấn đề tức nhiên , tức nhiên vấn đề , nghĩa là là vấn đề tức nhiên ! Hiểu chưa , hiểu chưa , hiểu chưa tức nhiên.",0,vihsd,0
Các idols lại đi sau bọn em rồi 😌😌,0,vihsd,0
Co tien tri Tran Dan cung do buon,0,vihsd,0
Tối vô khoanh tay xin lỗi không anh ơi 🤣🤣,0,vihsd,0
