index,text,label,origin,new_label
23665,Chi ba hột le cũng gia nữa  vàng mã âm binh,2,vihsd,1
25543,??,0,vihsd,0
31934,Sống chậm thôi :((,0,vihsd,0
40422,"Lần nào đọc tin về 2 bé,mắt mình cũng rưng rưng....Trộm vía, nhìn 2 bé dễ thương quá",0,victsd,0
40669,Khó có thể đau đớn hơn..,0,victsd,0
32477,Nhưng kế hoạch của Nhims vẫn đang thực hiện,0,vihsd,0
21072,Nghe hợp lý và thuyết phục anh em =)),0,vihsd,0
30149,Nguyễn Thế Sơn nghe nhiều lần là nghiện á bạn chứ nghe lần đầu hong hay lắm,0,vihsd,0
11890,Mai làm ván cho team thăng hoa anh ơiiiiiiiii,0,vihsd,0
9877,Ncc,1,vihsd,1
37113,"Học đại học còn có mấy bạn vô ý thức, quan trọng con người thôi",1,victsd,1
28445,Cô Trần Thị Nga bị nhà cầm tiền Việt Nam bắt tù đày chỉ có một tội duy nhất đó là....!,2,vihsd,1
41091,Nó trở thành quy luật rồi . Thùng rỗng kêu to . Những kẻ nổ nhiều đều thất bại,0,victsd,0
29462,Ông bạn Vàng của chủ nghĩa Cơm Sống.,0,vihsd,0
7567,Sáng mắt chưa Nhung :),2,vihsd,1
11878,My Sói trong page này độ có up nè,0,vihsd,0
16106,Nhìn cái mặt muốn xịt chó cắn,1,vihsd,1
9887,đọc bài báo xong buồn ĩa đéo chịu đc,1,vihsd,1
23441,Hoàng Yến fan cứng hả b =)))))),0,vihsd,0
43135,Xin chia buá»“n,0,victsd,0
18959,",😂🤣",0,vihsd,0
34277,Hết bia corona rồi đến bia Hà Nội giờ lại bia Trúc Bạch,0,victsd,0
17212,chết con ỉ ẹ thầy vs em :)),2,vihsd,1
5211,"Mùa đông quảng cáo áo cộc tay ,nghe hợp lí :((",0,vihsd,0
1682,wtf man,0,vihsd,0
43705,Những dịch vụ kiểu như thế này và các dịch vụ ship đồ ăn làm cho lượng rác thải nilon càng ngày càng nhiều. Một lần mình đặt mà phát hoảng vì lượng nilon thải ra. Từ đó đến nay không một lần đặt lại.,0,victsd,0
17271,Trần Nhật các cụ có câu : đã ngu còn hay sủa =))))),1,vihsd,1
3214,Quang Hung Vu bên đấy bảo cách ly tại nhà bệnh tự khỏi =))))))))),0,vihsd,0
16063,nguyễn liêm nhầm lẫn tai hại,0,vihsd,0
1912,Nguyễn Thanh :)),0,vihsd,0
38990,A di đà Phật!,0,victsd,0
32637,Năm mới thầy còn chơi bê đê nữa không thầy ?,0,vihsd,0
